area,quest,AP,samples,6503,6516,6512,6505,6522,6527,6530,6533,6502,6508,6515,6509,6501,6510,6511,6514,6513,6524,6526,6532,6507,6517,6506,6518,6519,6520,6521,6523,6525,6528,6529,6531,6001,6002,6003,6004,6005,6006,6007,6101,6102,6103,6104,6105,6106,6107,6201,6202,6203,6204,6205,6206,6207,7001,7002,7003,7004,7005,7006,7007,7101,7102,7103,7104,7105,7106,7107,剑之猛火,弓之猛火,枪之猛火,骑之猛火,术之猛火,杀之猛火,狂之猛火,friendshipPoints,EXP,QP
修炼场（周一）,弓超级,40,5506,17.8,,,24.2,,,,,18.8,,,,19.5,,,,20.1,,,,,,,,,13,,,,,,,,21.2,,,,,,,120.3,,,,,,,30,,,,,,,80.3,,,,,,,58.2,,,,,,,,,,,,,615,15690,6400
修炼场（周一）,弓上级,30,650,10.3,,,22.3,,,,,14.8,,,,8.2,,,,12.5,,,,,,,,,6.3,,,,,,,,18.5,,,,,,,156.2,,,,,,,15.5,,,,,,,103.2,,,,,,,35.5,,,,,,,,,,,,,415,5690,4400
修炼场（周一）,弓中级,20,471,7.6,29.9,1.3,14,,,,,14,,,,1.1,,,,10.2,,,,,,,,,,,,,,,,,136.5,,,,,,,35.5,,,,,,,,,,,,,,66.9,,,,,,,7.6,,,,,,,,,,,,,265,1385,2900
修炼场（周一）,弓初级,10,1297,11.1,24.4,3.8,5.2,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,135.6,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,,1.5,,,,,,,,,,,,,115,275,1400
修炼场（周二）,枪超级,40,4824,19.6,,,23.4,,,,,24.9,,,,11.2,,,21.4,,,,,,,,,12.9,,,,,,,,,,18.9,,,,,,,120.4,,,,,,,27.6,,,,,,,77.5,,,,,,,54.5,,,,,,,,,,,,615,15690,6400
修炼场（周二）,枪上级,30,961,16.4,,,20.6,,,,,19.4,,,,9.1,,,18.1,,,,,,,,,5.8,,,,,,,,,,16.5,,,,,,,147.7,,,,,,,17.2,,,,,,,99,,,,,,,35.1,,,,,,,,,,,,415,5690,4400
修炼场（周二）,枪中级,20,285,10.2,17.5,,13.7,,,,,11.9,,,,,,,9.1,,,,,,,,,,,,,,,,,,,116.8,,,,,,,65.6,,,,,,,,,,,,,,70.9,,,,,,,7.7,,,,,,,,,,,,265,1385,2900
修炼场（周二）,枪初级,10,1106,12,26.2,,6.3,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,116.1,,,,,,,,,,,,,,,,,,,,,22.2,,,,,,,2.7,,,,,,,,,,,,115,275,1400
修炼场（周三）,狂超级,40,2399,23.7,,,23.6,,,,,,,15.6,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,16.8,,,,,,,116,,,,,,,23.5,,,,,,,84.6,,,,,,,56.2,,,,,,,,615,15690,6400
